customer_id,city,signup_date
1,Mumbai,2/16/2021
2,Bangalore,6/22/2019
3,Pune,1/25/2022
4,Mumbai,6/14/2023
5,Delhi,6/24/2023
6,Bangalore,3/7/2022
7,Delhi,7/18/2021
8,Bangalore,3/29/2021
9,Mumbai,9/6/2019
10,Bangalore,5/25/2022
11,Delhi,3/8/2022
12,Pune,5/13/2022
13,Bangalore,11/29/2023
14,Bangalore,11/8/2022
15,Pune,8/23/2022
16,Bangalore,4/11/2019
17,Bangalore,9/25/2021
18,Bangalore,6/28/2020
19,Delhi,6/11/2020
20,Mumbai,7/7/2021
21,Mumbai,11/9/2022
22,Mumbai,2/5/2020
23,Pune,10/27/2022
24,Bangalore,10/10/2022
25,Bangalore,10/19/2020
26,Delhi,1/18/2021
27,Mumbai,4/8/2023
28,Delhi,10/15/2022
29,Bangalore,7/20/2019
30,Bangalore,10/5/2023
31,Bangalore,6/20/2023
32,Delhi,10/29/2023
33,Delhi,3/18/2022
34,Pune,3/18/2019
35,Delhi,5/1/2019
36,Mumbai,7/31/2021
37,Bangalore,2/10/2019
38,Bangalore,5/26/2021
39,Pune,8/17/2021
40,Mumbai,4/20/2023
41,Mumbai,5/16/2019
42,Delhi,3/25/2021
43,Delhi,6/15/2020
44,Bangalore,1/14/2023
45,Bangalore,11/16/2022
46,Pune,4/17/2021
47,Bangalore,7/20/2023
48,Delhi,3/22/2021
49,Mumbai,4/18/2022
50,Mumbai,7/30/2022
51,Delhi,1/2/2022
52,Mumbai,7/29/2023
53,Delhi,10/8/2020
54,Mumbai,12/6/2019
55,Delhi,5/18/2019
56,Bangalore,4/19/2020
57,Bangalore,5/5/2021
58,Pune,6/23/2023
59,Bangalore,1/22/2022
60,Bangalore,1/3/2022
61,Delhi,9/29/2023
62,Mumbai,7/14/2020
63,Delhi,12/2/2020
64,Pune,12/3/2020
65,Delhi,5/9/2019
66,Bangalore,9/27/2022
67,Pune,3/24/2020
68,Pune,7/1/2020
69,Mumbai,10/15/2020
70,Bangalore,9/15/2019
71,Pune,8/19/2021
72,Delhi,10/19/2020
73,Mumbai,8/24/2023
74,Delhi,5/15/2020
75,Pune,5/6/2021
76,Pune,10/2/2021
77,Pune,6/2/2020
78,Pune,2/25/2022
79,Delhi,10/30/2023
80,Mumbai,8/21/2019
81,Delhi,2/18/2020
