order_id,customer_id,store_id,order_date,promotion_id
1,45308,33,8/26/2021,24
2,10070,81,3/19/2022,3
3,43308,17,1/21/2021,25
4,47997,85,1/16/2021,48
5,36546,81,9/14/2022,33
6,9479,84,2/3/2023,2
7,33431,77,10/29/2022,44
8,33130,61,10/10/2022,12
9,39339,29,7/9/2021,47
10,28094,21,6/3/2022,21
11,26670,54,4/26/2021,17
12,7224,85,1/5/2023,2
13,46135,93,6/14/2023,35
14,39033,87,3/8/2022,36
15,20101,57,8/6/2022,38
16,24181,19,5/31/2023,18
17,39062,30,2/3/2022,50
18,22043,69,4/27/2020,42
19,21963,18,5/2/2023,41
20,22715,11,12/21/2021,49
21,38754,57,11/14/2020,7
22,13747,48,1/30/2021,27
23,28602,59,8/11/2023,29
24,36534,100,11/15/2023,27
25,41687,63,11/14/2021,16
26,28497,2,6/23/2022,22
27,15432,1,11/27/2023,14
28,7528,75,5/8/2023,13
29,25105,85,8/20/2020,3
30,46564,35,3/7/2022,7
31,26192,90,9/16/2020,8
32,13281,41,12/24/2021,6
33,29880,42,4/10/2021,36
34,41391,92,2/18/2023,41
35,14688,60,12/7/2023,45
36,6276,23,8/20/2021,46
37,12703,38,5/26/2021,34
38,33697,67,7/16/2021,23
39,46646,71,7/28/2020,46
40,12412,6,11/11/2023,4
41,26297,22,9/24/2023,10
42,31340,71,3/25/2023,8
43,44129,80,11/2/2021,30
44,40757,60,6/28/2020,20
45,37080,72,12/9/2022,23
46,2216,2,8/28/2022,44
47,34281,47,11/4/2023,41
48,22491,100,11/6/2023,32
49,40684,54,1/1/2020,13
50,8567,3,1/1/2021,44
51,47209,65,1/8/2022,27
52,30912,18,11/9/2021,44
53,18029,78,11/9/2020,15
54,26471,54,11/24/2023,43
55,43946,8,4/5/2020,22
56,21082,58,11/26/2022,38
57,7722,53,3/29/2023,35
58,46847,87,6/14/2023,12
59,7851,17,12/22/2020,22
60,25550,61,6/26/2023,28
61,47833,56,5/1/2023,19
62,22271,12,1/3/2021,13
63,30855,69,10/27/2020,47
64,21641,52,7/10/2020,27
65,23258,37,4/16/2023,49
66,15443,27,10/23/2020,35
67,5264,49,2/14/2020,1
68,3043,39,5/26/2022,41
69,18367,34,4/14/2021,45
70,45927,28,1/1/2021,27
71,11277,50,3/16/2021,23
72,28145,83,11/8/2023,32
73,22326,20,12/19/2020,38
74,35693,18,10/21/2021,39
75,21309,98,12/3/2022,20
76,33530,55,11/4/2022,18
77,7525,80,10/4/2023,11
78,29718,2,4/2/2023,32
