payment_id,order_id,amount
1,1,1462
2,2,2272
3,3,1342
4,4,1906
5,5,7185
6,6,8979
7,7,12086
8,8,10407
9,9,9035
10,10,5666
11,11,6421
12,12,2821
13,13,3906
14,14,10844
15,15,13928
16,16,6483
17,17,8486
18,18,17406
19,19,8484
20,20,4437
21,21,16215
22,22,16280
23,23,11361
24,24,14291
25,25,15716
26,26,13405
27,27,3407
28,28,12069
29,29,9952
30,30,12060
31,31,5063
32,32,17480
33,33,249
34,34,16560
35,35,8433
36,36,14154
37,37,2553
38,38,4827
39,39,1260
40,40,11272
41,41,7828
42,42,3779
43,43,12686
44,44,2519
45,45,11173
46,46,10279
47,47,572
48,48,1672
49,49,944
50,50,15966
51,51,19953
52,52,12236
53,53,10052
54,54,19875
55,55,19464
56,56,4705
57,57,2282
58,58,7089
59,59,2203
60,60,6276
61,61,952
62,62,10115
63,63,14478
64,64,17035
65,65,17362
66,66,452
67,67,4511
68,68,4639
69,69,9682
70,70,8376
71,71,5944
72,72,8798
73,73,19370
74,74,15452
75,75,6959
76,76,15111
77,77,9782
78,78,8818
79,79,10704
80,80,8572
81,81,9601
82,82,11955
83,83,17109
84,84,1810
85,85,941
86,86,14279
87,87,11196
88,88,18671
89,89,14700
90,90,12107
91,91,4184
92,92,11261
93,93,15273
94,94,10864
95,95,18758
96,96,8818
97,97,2930
98,98,8457
99,99,562
100,100,19338
101,101,1585
102,102,10237
103,103,17125
104,104,8109
105,105,7330
106,106,3053
107,107,14505
108,108,11230
109,109,5321
110,110,8279
111,111,18808
112,112,6834
113,113,4912
114,114,13826
115,115,19145
116,116,2165
117,117,10685
118,118,4055
119,119,17054
120,120,7177
121,121,2126
122,122,11203
123,123,16935
124,124,8208
125,125,6648
126,126,17635
127,127,6717
128,128,17698
129,129,10655
130,130,13332
131,131,17750
132,132,6262
133,133,10613
134,134,7441
135,135,4010
136,136,16946
137,137,4867
138,138,17136
139,139,19791
140,140,6754
141,141,1801
142,142,12244
143,143,17820
144,144,19787
145,145,18792
146,146,12692
147,147,8991
148,148,18726
149,149,15813
150,150,19960
151,151,10178
152,152,846
153,153,19930
154,154,5349
155,155,2676
156,156,4664
157,157,3165
158,158,18801
159,159,10417
160,160,15621
161,161,16092
162,162,6919
163,163,16841
164,164,17217
165,165,1602
166,166,6770
167,167,908
168,168,18230
169,169,18025
170,170,8308
171,171,4819
172,172,12544
173,173,1118
174,174,10972
175,175,19737
176,176,11851
177,177,5364
178,178,1500
179,179,4344
180,180,11440
181,181,6241
182,182,2044
183,183,9461
184,184,12412
185,185,18657
186,186,2475
187,187,18214
188,188,15015
189,189,9205
190,190,1679
191,191,10179
192,192,1425
193,193,14053
194,194,831
195,195,9488
196,196,2994
197,197,15306
198,198,11282
199,199,6249
200,200,9517
201,201,15428
202,202,226
203,203,15118
204,204,4302
205,205,1908
206,206,15142
207,207,12664
208,208,9493
209,209,9574
210,210,10932
211,211,113
212,212,3236
213,213,584
214,214,17682
215,215,19896
216,216,12346
217,217,17950
218,218,13276
219,219,5550
220,220,5767
221,221,18521
222,222,19187
223,223,3927
224,224,1938
225,225,12932
226,226,12245
227,227,7963
228,228,12025
229,229,1138
230,230,16420
231,231,1780
232,232,1681
233,233,11077
234,234,1991
235,235,18146
236,236,16365
237,237,16931
238,238,4545
239,239,6087
240,240,875
241,241,1082
242,242,18523
243,243,6553
244,244,8159
245,245,9798
246,246,16043
247,247,13637
248,248,1557
249,249,13873
250,250,11985
251,251,10911
252,252,7189
253,253,3703
254,254,17869
255,255,2880
256,256,12126
257,257,10054
258,258,16057
259,259,14647
260,260,3137
261,261,5131
262,262,13253
263,263,13219
264,264,16626
265,265,4301
266,266,8125
267,267,15264
268,268,15582
269,269,15373
270,270,13228
271,271,7198
272,272,246
273,273,17297
274,274,11281
275,275,16341
276,276,16363
277,277,4236
278,278,19236
279,279,19771
280,280,769
281,281,788
282,282,10756
283,283,14702
284,284,8372
285,285,4105
286,286,11513
287,287,8458
288,288,19205
289,289,1101
290,290,6483
291,291,4999
292,292,533
293,293,2399
294,294,2403
295,295,11847
296,296,17109
297,297,9045
298,298,13352
299,299,17216
300,300,12040
301,301,14953
302,302,13622
303,303,18583
304,304,9262
305,305,13227
306,306,9380
307,307,17499
308,308,15312
309,309,15471
310,310,5613
311,311,13072
312,312,359
313,313,6772
314,314,3122
315,315,13480
316,316,18300
317,317,17985
318,318,17194
319,319,4535
320,320,950
321,321,646
322,322,6199
323,323,726
324,324,10842
325,325,485
326,326,1761
327,327,10055
328,328,9137
329,329,19489
330,330,15841
331,331,13083
332,332,360
333,333,908
334,334,2583
335,335,16541
336,336,9536
337,337,9732
338,338,1629
339,339,4908
340,340,10263
341,341,3467
342,342,11333
343,343,10345
344,344,19496
345,345,5188
346,346,3998
347,347,12452
348,348,13762
349,349,19762
350,350,3674
351,351,2965
352,352,4677
353,353,7415
354,354,19356
355,355,425
356,356,14140
357,357,9417
358,358,4274
359,359,4510
360,360,13561
361,361,11518
362,362,17309
363,363,1226
364,364,19165
365,365,17132
366,366,1837
367,367,8419
368,368,10781
369,369,19654
370,370,3141
371,371,3167
372,372,9608
373,373,11462
374,374,1876
375,375,18269
376,376,19392
377,377,12873
378,378,14276
379,379,17488
380,380,11418
381,381,14436
382,382,9474
383,383,5745
384,384,17403
385,385,6541
386,386,9145
387,387,6515
388,388,6378
389,389,5521
390,390,15868
391,391,4852
392,392,196
