product_id,category_id,supplier_id,price
1,9,135,3987
2,18,194,4412
3,23,118,3548
4,19,139,1971
5,10,115,4495
6,17,53,2634
7,8,160,3028
8,30,21,3686
9,29,74,1844
10,29,77,316
11,9,61,564
12,14,146,3422
13,30,17,1910
14,10,187,2403
15,19,145,3155
16,10,122,3332
17,15,124,1578
18,7,42,4115
19,8,63,935
20,27,114,616
21,6,33,3951
22,10,140,2753
23,19,46,1674
24,18,187,1200
25,18,191,2946
26,18,159,4386
27,16,168,1145
28,9,95,4567
29,18,157,3423
30,1,114,4207
31,4,44,1326
32,17,56,2718
33,9,118,1881
34,24,47,4761
35,5,57,2971
36,8,74,680
37,12,73,1305
38,19,155,2018
39,12,181,3121
40,20,192,3067
41,1,77,118
42,8,128,2564
43,21,45,2293
44,1,11,711
45,23,130,3298
46,9,60,4651
47,26,47,2234
48,1,162,4044
49,6,110,3609
50,14,133,3724
51,20,91,150
52,11,71,1125
53,26,99,751
54,5,31,2887
55,2,65,4910
56,26,198,3707
57,28,190,1617
58,6,167,1577
59,8,84,1415
60,20,107,3539
61,2,8,1894
62,10,134,1950
63,22,47,3639
64,22,52,148
65,4,72,3368
66,22,42,2834
67,19,76,4948
68,1,126,1875
69,13,151,1011
70,8,35,2792
71,8,62,347
72,5,67,3632
73,15,143,3716
74,13,34,3001
75,8,141,3959
76,1,189,4134
77,13,148,4995
78,4,52,3020
79,24,93,3851
80,13,171,1348
81,22,158,637
82,20,88,666
83,11,4,2740
84,11,148,1227
85,20,131,3381
86,11,142,3753
87,4,105,1205
88,22,103,4946
89,3,13,1185
90,3,193,2538
91,29,91,3663
92,27,53,4799
93,18,74,3030
94,12,90,2020
95,21,180,4965
96,10,137,4011
97,3,98,2637
98,26,159,414
99,10,34,2489
100,22,191,4865
101,16,130,2972
102,14,147,2083
103,29,89,642
104,9,151,1711
105,6,183,4868
106,17,192,3512
107,14,140,2729
108,25,76,3296
109,4,164,951
110,1,165,4299
111,5,3,933
112,23,87,4411
113,19,150,3582
114,5,107,303
115,25,11,1595
116,2,189,3090
117,15,91,3857
118,21,35,3489
119,3,97,2106
120,22,86,1558
121,29,38,2094
122,20,9,1063
123,15,13,2255
124,19,142,3695
125,16,49,3389
126,29,1,3325
127,16,134,4857
128,24,67,3151
129,18,29,2755
130,14,141,4984
131,19,107,1046
132,25,30,2326
133,16,43,3341
134,26,57,3218
135,27,122,4846
136,4,1,4524
137,19,21,693
138,17,125,188
139,30,65,4819
140,17,180,1299
141,1,159,2517
142,9,167,848
143,30,117,4911
144,7,155,3689
145,5,22,872
146,28,167,315
147,20,89,747
148,18,119,129
149,28,193,2420
150,14,32,3194
151,27,179,304
152,9,158,2249
153,20,185,3363
154,30,74,713
155,8,6,337
156,17,11,817
157,23,67,779
158,11,77,1863
159,14,82,146
160,20,36,4254
161,11,74,2347
162,16,10,4013
163,29,133,2041
164,11,106,407
165,4,180,4988
166,18,158,3258
167,9,24,3855
168,9,45,1444
169,18,146,647
170,21,158,1530
171,8,81,1202
172,5,115,4103
173,22,44,3680
174,17,16,2567
175,11,113,1931
176,2,172,922
177,20,155,3075
178,2,100,2915
179,27,160,3640
180,3,131,3949
181,15,171,4707
182,26,173,3490
183,5,200,2219
184,30,152,2252
185,15,92,4450
186,5,185,1674
187,2,19,2548
188,17,169,2171
189,13,6,3896
190,15,198,1211
191,19,49,4725
192,20,34,294
193,10,119,3457
194,21,156,3830
195,9,195,1893
196,1,37,2514
197,4,142,4173
198,4,91,4420
199,6,74,1233
200,26,114,3340
201,3,75,1001
202,3,34,2580
203,4,48,596
204,29,9,2232
205,2,25,1828
206,22,130,2054
207,27,127,2841
208,9,172,1700
209,3,11,2405
210,5,149,637
211,29,1,789
212,24,5,2346
213,12,159,1202
214,10,127,2622
215,8,200,3548
216,13,2,4348
217,28,90,2260
218,18,1,1144
219,16,178,242
220,2,131,3765
221,23,150,1438
222,15,182,3850
223,19,106,758
224,20,46,4994
225,23,66,1344
226,22,82,1254
227,23,102,1984
228,7,44,1520
229,10,89,1270
230,26,27,1247
231,4,132,979
232,2,10,325
233,16,190,4691
234,27,53,749
235,20,170,4308
236,13,54,2830
237,3,112,185
238,11,56,1795
239,7,103,4825
240,28,155,3743
241,1,189,799
242,5,157,515
243,10,91,4140
244,1,138,1934
245,15,63,1502
246,12,31,3705
247,16,94,465
248,15,70,3542
249,30,33,4738
250,16,188,1863
251,22,41,4452
252,30,131,1538
253,8,16,354
254,19,140,1282
255,19,169,947
256,4,181,2450
257,3,186,1602
258,1,57,2220
259,14,183,889
260,23,167,2536
261,3,62,704
262,21,103,3136
263,7,90,1531
264,5,60,3060
265,13,3,4466
266,24,4,3378
267,22,196,3189
268,4,5,3319
269,12,137,4020
270,15,163,1010
