return_id,order_item_id,refund
1,496351,2282
2,522631,4637
3,481424,2421
4,207559,1805
5,265929,4907
6,179208,88
7,472887,4640
8,103776,3627
9,137189,1100
10,393105,2716
11,372056,4627
12,515705,3573
13,51668,384
14,111775,2401
15,179452,2088
16,59971,2625
17,409618,2044
18,331870,4404
19,599855,1402
20,467400,3336
21,488808,2730
22,351599,1782
23,287231,1217
24,573505,1211
25,169331,3579
26,378680,4603
27,49997,884
28,5539,3214
29,536618,2648
30,395110,2049
31,572002,395
32,555114,1136
33,10953,1134
34,221520,2385
35,284630,1715
36,593204,1766
37,5030,2148
38,489854,1923
39,163582,3862
40,430361,887
41,542739,1624
42,370101,879
43,71307,2107
44,441804,4690
45,563713,4751
46,302125,1160
47,540681,1400
48,501545,3619
49,320140,3167
50,521225,4688
51,322025,528
52,289012,2565
53,349814,3158
54,176607,3683
55,283971,4554
56,531663,4560
57,589850,483
58,515013,3798
59,107670,3968
60,27618,3405
61,318765,421
62,360327,4288
63,234617,275
64,283943,2369
65,345159,4232
66,422728,2427
67,589814,3280
68,99669,3705
69,255605,1817
70,391318,2264
71,22302,623
72,222043,3984
73,504859,2441
74,199241,1398
75,582182,2233
76,502279,2200
77,280718,2301
78,261327,2941
79,229554,4009
80,286139,3908
81,54819,2639
82,323179,3392
83,279355,3578
84,255232,886
85,220850,4591
86,536344,4622
87,300473,947
88,363365,1504
89,340589,1501
90,116034,4296
91,161945,3488
92,490789,3725
93,545358,2219
94,365522,1710
95,185664,917
96,270062,3276
97,336978,1998
98,81934,1223
99,571959,2997
100,445300,365
101,254612,1282
102,319703,2259
103,86006,2217
104,413167,3277
105,598088,3408
106,84455,4603
107,309965,527
108,185676,4049
109,471891,828
110,82695,1428
111,444726,4712
112,50603,4151
113,11233,83
114,160320,4233
115,236910,1355
116,383691,3755
117,331706,3223
118,216686,2420
119,422910,2006
120,21536,2816
121,302516,2277
122,450649,4121
123,55382,57
124,251329,1439
125,571570,2182
126,464978,4147
127,47285,2157
128,112233,2616
129,367762,2102
130,496371,3223
131,317650,1987
132,256944,4666
133,508851,3788
134,2992,2943
135,394162,252
136,182853,4124
137,429242,1456
138,585913,4351
139,477089,2030
140,399354,551
141,496339,76
142,359948,3117
143,550069,3773
144,514452,2189
145,38453,4971
146,305454,4403
147,130944,1156
148,101264,4603
149,7312,2729
150,377494,2852
151,236445,2176
152,49729,2255
153,354340,3963
154,354651,4555
155,42966,2190
156,320098,4328
157,248882,2154
158,109843,4384
159,41737,2840
160,529103,3818
161,210661,4997
162,151470,2923
163,512438,4138
164,599225,719
165,137291,1225
166,345204,125
167,294024,3643
168,201327,1048
169,10547,603
170,192660,763
171,501882,2357
172,78256,283
173,114879,3187
174,537785,2174
175,50858,220
176,589726,2679
177,405792,676
178,394012,2546
179,214427,4763
180,96299,3780
181,455649,3001
182,184304,4786
183,461227,3482
184,5213,304
185,78379,3891
186,555585,2526
187,193082,3043
188,261543,3900
189,582605,725
190,471185,1012
191,266444,2307
192,367457,3493
193,422486,3962
194,266912,2806
195,352135,392
196,351186,2659
197,118849,879
198,472024,1358
199,6326,4811
200,141648,2245
201,454792,4822
202,218921,3596
203,593506,449
204,563604,237
205,393384,1279
206,188226,409
207,411230,3243
208,367438,818
209,455546,2918
210,37045,4830
211,215024,2589
212,48261,3332
213,320604,786
214,483681,1641
215,332022,3475
216,585330,4793
217,50040,3790
218,409985,1849
219,520759,3292
220,51485,281
