shipment_id,order_id,status
1,1,delivered
2,2,shipped
3,3,late
4,4,late
5,5,late
6,6,late
7,7,shipped
8,8,delivered
9,9,shipped
10,10,delivered
11,11,late
12,12,shipped
13,13,late
14,14,shipped
15,15,shipped
16,16,delivered
17,17,delivered
18,18,delivered
19,19,shipped
20,20,delivered
21,21,shipped
22,22,late
23,23,shipped
24,24,delivered
25,25,shipped
26,26,shipped
27,27,late
28,28,late
29,29,late
30,30,late
31,31,late
32,32,delivered
33,33,shipped
34,34,late
35,35,shipped
36,36,late
37,37,delivered
38,38,late
39,39,delivered
40,40,delivered
41,41,shipped
42,42,delivered
43,43,late
44,44,late
45,45,delivered
46,46,delivered
47,47,delivered
48,48,shipped
49,49,delivered
50,50,delivered
51,51,delivered
52,52,shipped
53,53,delivered
54,54,shipped
55,55,delivered
56,56,shipped
57,57,delivered
58,58,shipped
59,59,late
60,60,delivered
61,61,late
62,62,late
63,63,late
64,64,shipped
65,65,delivered
66,66,late
67,67,shipped
68,68,late
69,69,late
70,70,delivered
71,71,late
72,72,shipped
73,73,shipped
74,74,late
75,75,late
76,76,shipped
77,77,shipped
78,78,delivered
79,79,late
80,80,delivered
81,81,shipped
82,82,delivered
83,83,shipped
84,84,late
85,85,late
86,86,late
87,87,late
88,88,shipped
89,89,delivered
90,90,delivered
91,91,late
92,92,shipped
93,93,shipped
94,94,delivered
95,95,delivered
96,96,shipped
97,97,late
98,98,late
99,99,delivered
100,100,delivered
101,101,late
102,102,shipped
103,103,delivered
104,104,late
105,105,late
106,106,shipped
107,107,late
108,108,shipped
109,109,shipped
110,110,late
111,111,shipped
112,112,delivered
113,113,late
114,114,late
115,115,late
116,116,late
117,117,delivered
118,118,shipped
119,119,late
120,120,shipped
121,121,late
122,122,shipped
123,123,late
124,124,late
125,125,shipped
126,126,shipped
127,127,delivered
128,128,late
129,129,shipped
130,130,late
131,131,shipped
132,132,delivered
133,133,delivered
134,134,delivered
135,135,shipped
136,136,late
137,137,shipped
138,138,late
139,139,shipped
140,140,shipped
141,141,delivered
142,142,delivered
143,143,shipped
144,144,late
145,145,delivered
146,146,shipped
147,147,late
148,148,late
149,149,shipped
150,150,late
151,151,delivered
152,152,late
153,153,late
154,154,late
155,155,delivered
156,156,late
157,157,delivered
158,158,late
159,159,late
160,160,late
161,161,delivered
162,162,late
163,163,late
164,164,delivered
165,165,late
166,166,delivered
167,167,late
168,168,delivered
169,169,shipped
170,170,shipped
171,171,delivered
172,172,late
173,173,delivered
174,174,shipped
175,175,delivered
176,176,late
177,177,late
178,178,late
179,179,delivered
180,180,shipped
181,181,shipped
182,182,shipped
183,183,late
184,184,delivered
185,185,shipped
186,186,late
187,187,delivered
188,188,late
189,189,shipped
190,190,shipped
191,191,late
192,192,delivered
193,193,delivered
194,194,shipped
195,195,delivered
196,196,shipped
197,197,shipped
198,198,late
199,199,shipped
200,200,late
