supplier_id,country
1,India
2,India
3,India
4,USA
5,China
6,India
7,China
8,USA
9,USA
10,USA
11,China
12,India
13,USA
14,China
15,China
16,India
17,India
18,USA
19,India
20,India
21,India
22,India
23,USA
24,USA
25,India
26,China
27,China
28,USA
29,India
30,India
31,China
32,China
33,India
34,India
35,China
36,India
37,China
38,China
39,China
40,USA
41,India
42,China
43,USA
44,China
45,India
46,India
47,India
48,China
49,India
50,China
51,China
52,India
53,USA
54,USA
55,USA
56,India
57,USA
58,India
59,USA
60,USA
61,China
62,USA
63,USA
64,China
65,USA
66,USA
67,China
68,China
69,China
70,India
71,USA
72,China
73,China
74,USA
75,India
76,USA
77,India
78,India
79,USA
80,China
81,USA
82,USA
83,China
84,China
85,China
86,USA
87,India
88,India
89,USA
90,China
91,India
92,USA
93,USA
94,India
95,China
96,USA
97,USA
98,USA
99,USA
100,USA
101,USA
102,USA
103,USA
104,India
105,India
106,China
107,China
108,USA
109,USA
110,India
111,India
112,China
113,India
114,USA
115,China
116,India
117,USA
118,USA
119,China
120,USA
121,USA
122,India
123,USA
124,India
125,China
126,USA
127,USA
128,China
129,China
130,USA
131,China
132,China
133,India
134,India
135,China
136,India
137,USA
138,India
139,China
140,India
141,China
142,USA
143,USA
144,China
145,India
146,USA
147,China
148,China
149,China
150,USA
151,India
152,India
153,USA
154,China
155,India
156,USA
157,USA
158,China
159,India
160,USA
161,China
162,China
163,China
164,China
165,USA
166,USA
167,China
168,China
169,India
170,USA
171,China
172,USA
173,USA
174,China
175,India
176,India
177,USA
178,USA
179,India
180,USA
181,India
182,India
183,USA
184,USA
185,USA
186,India
187,India
188,China
189,USA
190,China
191,China
192,USA
193,China
194,China
195,USA
196,India
197,USA
198,China
199,USA
200,India
